INFO 2024-10-22 12:56:39,261 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/keywords.py first seen with mtime 1729503325.2698197
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/asyncio/staggered.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/genericpath.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1729519782.941352
DEBUG 2024-10-22 12:56:39,429 autoreload File /usr/lib/python3.10/uu.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1729519782.849349
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/oauth2/rfc6749/clients/backend_application.py first seen with mtime 1729519781.9903219
DEBUG 2024-10-22 12:56:39,429 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/serializers/json.py first seen with mtime 1729519783.3163636
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/filters.py first seen with mtime 1729519782.847349
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/utils/formats.py first seen with mtime 1729519783.357365
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/asyncio/base_futures.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/styles/_mapping.py first seen with mtime 1716371656.3899589
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/jwcrypto/jwa.py first seen with mtime 1729519782.0453236
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1729519782.981353
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/email/mime/nonmultipart.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/checks/model_checks.py first seen with mtime 1729519783.3053634
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/template/loaders/app_directories.py first seen with mtime 1729519783.3513649
